texto,sentimiento
"Soplagaitas, no vale ni la mitad de lo que pagué #0.",0
"Buenísimo, vale cada peso y lo recomiendo a todos #5.",1
"Me encantó, la historia es increíble y la actuación genial #36.",1
"Una obra maestra, salí feliz y con ganas de repetir #45.",1
"No lo recomiendo para nada, fue un desastre completo #13.",0
"Una obra maestra, salí feliz y con ganas de repetir #54.",1
"Terrible, todo salió mal y nadie se hizo responsable #33.",0
"Excelente, cumplió todo lo que prometía, muy recomendado #48.",1
"Pésimo, nadie me atendió y llegó roto y tarde #12.",0
"Terrible, todo salió mal y nadie se hizo responsable #57.",0
"Malísimo, se rompió al segundo día, no lo compren #46.",0
"Muy buena compra, funciona perfecto y llegó a tiempo #50.",1
"Me dejó sin palabras, es de lo mejor que he visto #31.",1
"La mejor experiencia, superó todas mis expectativas #3.",1
"Divertidísimo, el equipo me atendió con mucha amabilidad #52.",1
"Soplagaitas, no vale ni la mitad de lo que pagué #17.",0
"Aburridísimo, casi me quedo dormido de lo malo que es #8.",0
"No lo recomiendo para nada, fue un desastre completo #6.",0
"Muy buena compra, funciona perfecto y llegó a tiempo #40.",1
"Divertidísimo, el equipo me atendió con mucha amabilidad #4.",1
"Increíble calidad, se nota el buen trabajo en cada detalle #43.",1
"Una decepción total, esperaba mucho más de lo que vi #19.",0
"Malísimo, se rompió al segundo día, no lo compren #34.",0
"Perfecto para un finde, me encantó de principio a fin #58.",1
"Una decepción total, esperaba mucho más de lo que vi #25.",0
"Mala calidad, muy caro para lo que ofrece #56.",0
"Buenísimo, vale cada peso y lo recomiendo a todos #15.",1
"Mala calidad, muy caro para lo que ofrece #27.",0
"No me gustó nada, la historia es aburrida y los actores flojos #9.",0
"No me gustó nada, la historia es aburrida y los actores flojos #30.",0
"Malísimo, se rompió al segundo día, no lo compren #26.",0
"Fue lo peor, perdí mi tiempo y mi dinero con esto #16.",0
"La mejor experiencia, superó todas mis expectativas #24.",1
"No me gustó nada, la historia es aburrida y los actores flojos #55.",0
"No me gustó nada, la historia es aburrida y los actores flojos #11.",0
"Muy buena compra, funciona perfecto y llegó a tiempo #32.",1
"Mala calidad, muy caro para lo que ofrece #53.",0
"Aburridísimo, casi me quedo dormido de lo malo que es #41.",0
"No lo recomiendo para nada, fue un desastre completo #37.",0
"No lo recomiendo para nada, fue un desastre completo #29.",0
"Increíble calidad, se nota el buen trabajo en cada detalle #44.",1
"Divertidísimo, el equipo me atendió con mucha amabilidad #1.",1
"Una obra maestra, salí feliz y con ganas de repetir #21.",1
"Soplagaitas, no vale ni la mitad de lo que pagué #2.",0
"Buenísimo, vale cada peso y lo recomiendo a todos #47.",1
"Buenísimo, vale cada peso y lo recomiendo a todos #39.",1
"No me gustó nada, la historia es aburrida y los actores flojos #35.",0
"Una decepción total, esperaba mucho más de lo que vi #23.",0
"Malísimo, se rompió al segundo día, no lo compren #49.",0
"Fue lo peor, perdí mi tiempo y mi dinero con esto #10.",0
"Malísimo, se rompió al segundo día, no lo compren #22.",0
"Una decepción total, esperaba mucho más de lo que vi #18.",0
"Muy buena compra, funciona perfecto y llegó a tiempo #59.",1
"Una decepción total, esperaba mucho más de lo que vi #20.",0
"Una obra maestra, salí feliz y con ganas de repetir #7.",1
"Pésimo, nadie me atendió y llegó roto y tarde #42.",0
"Aburridísimo, casi me quedo dormido de lo malo que es #14.",0
"Pésimo, nadie me atendió y llegó roto y tarde #28.",0
"No lo recomiendo para nada, fue un desastre completo #51.",0
"Soplagaitas, no vale ni la mitad de lo que pagué #38.",0
